Adam Bede	https://web.archive.org/web/20201219141532/https://www.cliffsnotes.com/literature/a/adam-bede/book-summary
The Adventures of Huckleberry Finn	https://web.archive.org/web/20201129160433/https://www.cliffsnotes.com/literature/a/the-adventures-of-huckleberry-finn/the-adventures-of-huckleberry-finn-at-a-glance
The Adventures of Tom Sawyer	https://web.archive.org/web/20200920212532/https://www.cliffsnotes.com/literature/a/the-adventures-of-tom-sawyer/book-summary
The Age of Innocence	https://web.archive.org/web/20201129043720/https://www.cliffsnotes.com/literature/a/the-age-of-innocence/book-summary
Alice's Adventures in Wonderland	https://web.archive.org/web/20210126190906/https://www.cliffsnotes.com/literature/a/alices-adventures-in-wonderland/book-summary
The Ambassadors	https://web.archive.org/web/20201028052337/https://www.cliffsnotes.com/literature/a/the-ambassadors/book-summary
The American	https://web.archive.org/web/20201028053915/https://www.cliffsnotes.com/literature/a/the-american/book-summary
Anna Karenina	https://web.archive.org/web/20201219113759/https://www.cliffsnotes.com/literature/a/anna-karenina/book-summary
Anthem	https://web.archive.org/web/20210124220332/https://www.cliffsnotes.com/literature/a/anthem/book-summary
The Awakening	https://web.archive.org/web/20210126215221/https://www.cliffsnotes.com/literature/a/the-awakening/book-summary
Babbitt	https://web.archive.org/web/20201101002903/https://www.cliffsnotes.com/literature/b/babbitt/sinclair-lewis-biography
Bleak House	https://web.archive.org/web/20210124225537/https://www.cliffsnotes.com/literature/b/bleak-house/book-summary
The Brothers Karamazov	https://web.archive.org/web/20201219142226/https://www.cliffsnotes.com/literature/b/the-brothers-karamazov/book-summary
The Call of the Wild	https://web.archive.org/web/20201108125417/https://www.cliffsnotes.com/literature/c/the-call-of-the-wild/book-summary
Candide	https://web.archive.org/web/20201219142259/https://www.cliffsnotes.com/literature/c/candide/book-summary
A Connecticut Yankee in King Arthur's Court	https://web.archive.org/web/20210126215034/https://www.cliffsnotes.com/literature/c/a-connecticut-yankee-in-king-arthurs-court/book-summary
The Count of Monte Cristo	https://web.archive.org/web/20201101010251/https://www.cliffsnotes.com/literature/c/the-count-of-monte-cristo/book-summary
Crime and Punishment	https://web.archive.org/web/20201112005055/https://www.cliffsnotes.com/literature/c/crime-and-punishment/book-summary
David Copperfield	https://web.archive.org/web/20210118082853/https://www.cliffsnotes.com/literature/d/david-copperfield/book-summary
The Deerslayer	https://web.archive.org/web/20201101010815/https://www.cliffsnotes.com/literature/d/the-deerslayer/book-summary
Don Quixote	https://web.archive.org/web/20210124205525/https://www.cliffsnotes.com/literature/d/don-quixote/book-summary
Dracula	https://web.archive.org/web/20201130175614/https://www.cliffsnotes.com/literature/d/dracula/book-summary
Dr. Jekyll and Mr. Hyde	https://web.archive.org/web/20201219142519/https://www.cliffsnotes.com/literature/d/dr-jekyll-and-mr-hyde/book-summary
Dubliners	https://web.archive.org/web/20201201085112/https://www.cliffsnotes.com/literature/d/dubliners/about-dubliners
Emma	https://web.archive.org/web/20210222081519/https://www.cliffsnotes.com/literature/e/emma/book-summary
Ethan Frome	https://web.archive.org/web/20201219142546/https://www.cliffsnotes.com/literature/e/ethan-frome/book-summary
Far from the Madding Crowd	https://web.archive.org/web/20201101052914/https://www.cliffsnotes.com/literature/f/far-from-the-madding-crowd/book-summary
Fathers and Sons	https://web.archive.org/web/20201201084115/https://www.cliffsnotes.com/literature/f/fathers-and-sons/book-summary
Frankenstein	https://web.archive.org/web/20201129041242/https://www.cliffsnotes.com/literature/f/frankenstein/frankenstein-at-a-glance
Great Expectations	https://web.archive.org/web/20201130193022/https://www.cliffsnotes.com/literature/g/great-expectations/great-expectations-at-a-glance
Gulliver's Travels	https://web.archive.org/web/20201114001440/https://www.cliffsnotes.com/literature/g/gullivers-travels/book-summary
Hard Times	https://web.archive.org/web/20201101053001/https://www.cliffsnotes.com/literature/h/hard-times/about-hard-times
Heart of Darkness	https://web.archive.org/web/20210126062959/https://www.cliffsnotes.com/literature/h/heart-of-darkness/heart-of-darkness-at-a-glance
The House of Mirth	https://web.archive.org/web/20201219142729/https://www.cliffsnotes.com/literature/h/the-house-of-mirth/book-summary
The House of the Seven Gables	https://web.archive.org/web/20201205000116/https://www.cliffsnotes.com/literature/h/the-house-of-the-seven-gables/book-summary
The Idiot	https://web.archive.org/web/20201101053050/https://www.cliffsnotes.com/literature/i/the-idiot/book-summary
Ivanhoe	https://web.archive.org/web/20201128053024/https://www.cliffsnotes.com/literature/i/ivanhoe/book-summary
Jane Eyre	https://web.archive.org/web/20210613121319/https://www.cliffsnotes.com/literature/j/jane-eyre/jane-eyre-at-a-glance
Jude the Obscure	https://web.archive.org/web/20201101223118/https://www.cliffsnotes.com/literature/j/jude-the-obscure/book-summary
The Jungle	https://web.archive.org/web/20201223141049/https://www.cliffsnotes.com/literature/j/the-jungle/about-the-jungle
The Last of the Mohicans	https://web.archive.org/web/20201101053205/https://www.cliffsnotes.com/literature/l/the-last-of-the-mohicans/book-summary
Lord Jim	https://web.archive.org/web/20201219145744/https://www.cliffsnotes.com/literature/l/lord-jim/book-summary
Madame Bovary	https://web.archive.org/web/20201130171126/https://www.cliffsnotes.com/literature/m/madame-bovary/book-summary
Main Street	https://web.archive.org/web/20210122103756/https://www.cliffsnotes.com/literature/m/main-street/book-summary
The Mayor of Casterbridge	https://web.archive.org/web/20201201083944/https://www.cliffsnotes.com/literature/m/the-mayor-of-casterbridge/book-summary
The Mill on the Floss	https://web.archive.org/web/20201101053349/https://www.cliffsnotes.com/literature/m/the-mill-on-the-floss/book-summary
Moby-Dick	https://web.archive.org/web/20201130174354/https://www.cliffsnotes.com/literature/m/mobydick/book-summary
My Ántonia	https://web.archive.org/web/20201201085848/https://www.cliffsnotes.com/literature/m/my-aacutentonia/book-summary
Oliver Twist	https://web.archive.org/web/20201123191942/https://www.cliffsnotes.com/literature/o/oliver-twist/book-summary
The Picture of Dorian Gray	https://web.archive.org/web/20201219150422/https://www.cliffsnotes.com/literature/p/the-picture-of-dorian-gray/book-summary
A Portrait of the Artist as a Young Man	https://web.archive.org/web/20201130205506/https://www.cliffsnotes.com/literature/p/a-portrait-of-the-artist-as-a-young-man/book-summary
Pride and Prejudice	https://web.archive.org/web/20201219150218/https://www.cliffsnotes.com/literature/p/pride-and-prejudice/book-summary
The Prince and the Pauper	https://web.archive.org/web/20210125122234/https://www.cliffsnotes.com/literature/p/the-prince-and-the-pauper/book-summary
The Return of the Native	https://web.archive.org/web/20201201082542/https://www.cliffsnotes.com/literature/r/the-return-of-the-native/book-summary
The Scarlet Letter	https://web.archive.org/web/20201211040033/https://www.cliffsnotes.com/literature/s/the-scarlet-letter/the-scarlet-letter-at-a-glance
The Secret Sharer	https://web.archive.org/web/20201102051722/https://www.cliffsnotes.com/literature/s/the-secret-sharer/story-summary
Sense and Sensibility	https://web.archive.org/web/20201201083807/https://www.cliffsnotes.com/literature/s/sense-and-sensibility/book-summary
Siddhartha	https://web.archive.org/web/20201101053836/https://www.cliffsnotes.com/literature/s/siddhartha/about-siddhartha
Silas Marner	https://web.archive.org/web/20201101053903/https://www.cliffsnotes.com/literature/s/silas-marner/book-summary
Sister Carrie	https://web.archive.org/web/20201028052938/https://www.cliffsnotes.com/literature/s/sister-carrie/book-summary
A Tale of Two Cities	https://web.archive.org/web/20210124213421/https://www.cliffsnotes.com/literature/t/a-tale-of-two-cities/a-tale-of-two-cities-at-a-glance
Tess of the d'Urbervilles	https://web.archive.org/web/20201219151046/https://www.cliffsnotes.com/literature/t/tess-of-the-durbervilles/book-summary
The Three Musketeers	https://web.archive.org/web/20210126223655/https://www.cliffsnotes.com/literature/t/the-three-musketeers/book-summary
Treasure Island	https://web.archive.org/web/20201101053952/https://www.cliffsnotes.com/literature/t/treasure-island/book-summary
The Trial	https://web.archive.org/web/20201130163729/https://www.cliffsnotes.com/literature/t/the-trial/franz-kafka-biography
The Turn of the Screw	https://web.archive.org/web/20201219151133/https://www.cliffsnotes.com/literature/t/the-turn-of-the-screw/book-summary
Ulysses	https://web.archive.org/web/20201029160656/https://www.cliffsnotes.com/literature/u/ulysses/book-summary
